scenario,dataset,strategy,combo,method,correct,total,accuracy,available_predictions
dms_total_escape_replacement,ma22,mutation_min_shift,E,fit,8,24,0.3333333333333333,24
dms_total_escape_replacement,ma22,mutation_min_shift,E,freq,5,24,0.20833333333333334,24
dms_total_escape_replacement,ma22,mutation_min_shift,G,fit,6,24,0.25,24
dms_total_escape_replacement,ma22,mutation_min_shift,G,freq,5,24,0.20833333333333334,24
dms_total_escape_replacement,ma22,mutation_min_shift,D,fit,8,24,0.3333333333333333,24
dms_total_escape_replacement,ma22,mutation_min_shift,D,freq,7,24,0.2916666666666667,24
dms_total_escape_replacement,ma22,mutation_min_shift,E+G,fit,6,24,0.25,24
dms_total_escape_replacement,ma22,mutation_min_shift,E+G,freq,5,24,0.20833333333333334,24
dms_total_escape_replacement,ma22,mutation_min_shift,E+D,fit,7,24,0.2916666666666667,24
dms_total_escape_replacement,ma22,mutation_min_shift,E+D,freq,7,24,0.2916666666666667,24
dms_total_escape_replacement,ma22,mutation_min_shift,G+D,fit,7,24,0.2916666666666667,24
dms_total_escape_replacement,ma22,mutation_min_shift,G+D,freq,7,24,0.2916666666666667,24
dms_total_escape_replacement,ma22,mutation_min_shift,E+G+D,fit,9,24,0.375,24
dms_total_escape_replacement,ma22,mutation_min_shift,E+G+D,freq,7,24,0.2916666666666667,24
