scenario,dataset,strategy,combo,method,correct,total,accuracy,available_predictions
dms_total_escape_replacement,hk19,site_positive_sum,E,fit,8,24,0.3333333333333333,24
dms_total_escape_replacement,hk19,site_positive_sum,E,freq,5,24,0.20833333333333334,24
dms_total_escape_replacement,hk19,site_positive_sum,G,fit,6,24,0.25,24
dms_total_escape_replacement,hk19,site_positive_sum,G,freq,5,24,0.20833333333333334,24
dms_total_escape_replacement,hk19,site_positive_sum,D,fit,8,24,0.3333333333333333,24
dms_total_escape_replacement,hk19,site_positive_sum,D,freq,7,24,0.2916666666666667,24
dms_total_escape_replacement,hk19,site_positive_sum,E+G,fit,7,24,0.2916666666666667,24
dms_total_escape_replacement,hk19,site_positive_sum,E+G,freq,5,24,0.20833333333333334,24
dms_total_escape_replacement,hk19,site_positive_sum,E+D,fit,8,24,0.3333333333333333,24
dms_total_escape_replacement,hk19,site_positive_sum,E+D,freq,8,24,0.3333333333333333,24
dms_total_escape_replacement,hk19,site_positive_sum,G+D,fit,7,24,0.2916666666666667,24
dms_total_escape_replacement,hk19,site_positive_sum,G+D,freq,7,24,0.2916666666666667,24
dms_total_escape_replacement,hk19,site_positive_sum,E+G+D,fit,8,24,0.3333333333333333,24
dms_total_escape_replacement,hk19,site_positive_sum,E+G+D,freq,7,24,0.2916666666666667,24
